Lord's Compiler Redux is working on 'src/program.lor'

Output files:
     {'default': 'output\\compiled.txt'}
         33041128 function calls (32973629 primitive calls) in 13.765 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    117/1    0.001    0.000   13.796   13.796 {built-in method builtins.exec}
        1    0.003    0.003   13.785   13.785 compile.py:94(main)
      5/4    0.002    0.000   13.621    3.405 pipeline.py:131(exec_pipeline)
        2    0.001    0.000    5.051    2.525 macros.py:88(expand_procedural_macros)
      3/2    0.037    0.012    5.050    2.525 macros.py:50(expand_macros_recurent)
  3852390    3.370    0.000    4.812    0.000 match_expr.py:38(match_expr)
    18033    0.677    0.000    4.455    0.000 macros.py:12(serach_for_macros)
        1    0.009    0.009    3.225    3.225 formatter.py:139(format_output)
     9840    0.009    0.000    3.213    0.000 formatter.py:126(get_pad)
     9840    0.057    0.000    3.169    0.000 formatter.py:113(get_bin)
    65811    0.104    0.000    3.097    0.000 formatter.py:85(encode_argument)
    65811    0.022    0.000    2.613    0.000 formatter.py:39(binary)
    65811    0.060    0.000    2.591    0.000 formatter.py:7(into_binary)
    65811    0.314    0.000    2.531    0.000 binary_class.py:11(__init__)
        4    0.011    0.003    1.367    0.342 match_commands.py:19(find_commands)
    19682    0.334    0.000    1.350    0.000 match_commands.py:8(serach_for_command)
        1    0.003    0.003    1.208    1.208 saver.py:13(save)
        1    0.007    0.007    1.197    1.197 tabulate.py:1216(tabulate)
     8192    0.022    0.000    0.854    0.000 tokenize.py:69(tokenize)
    65811    0.265    0.000    0.798    0.000 binary_class.py:238(__from_integer)
    85090    0.043    0.000    0.752    0.000 generate.py:9(eval_space)
        4    0.104    0.026    0.747    0.187 generate.py:14(generate)
    39684    0.059    0.000    0.718    0.000 config.py:11(__getattr__)
    85103    0.665    0.000    0.684    0.000 {built-in method builtins.eval}
9308182/9288033    0.641    0.000    0.670    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.654    0.654 tabulate.py:1576(<listcomp>)
        7    0.000    0.000    0.654    0.093 tabulate.py:939(_column_type)
   131622    0.140    0.000    0.603    0.000 binary_class.py:302(__generate_bitmask)
        7    0.015    0.002    0.572    0.082 tabulate.py:961(<listcomp>)
    68880    0.079    0.000    0.556    0.000 tabulate.py:651(_type)
   572621    0.380    0.000    0.497    0.000 match_expr.py:14(parse_argument_token)
  4527663    0.461    0.000    0.461    0.000 match_expr.py:10(match_word)
        2    0.044    0.022    0.437    0.219 definitions.py:7(definition_solver)
        1    0.043    0.043    0.407    0.407 add_comments.py:25(add_comments)
79368/39684    0.077    0.000    0.397    0.000 configparser.py:765(get)
   177176    0.069    0.000    0.386    0.000 re.py:203(sub)
    18033    0.260    0.000    0.385    0.000 tokenize.py:26(join_sign_expressions)
